UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 15:17 ?        00:00:05 /sbin/init
root           2       1  0 15:17 ?        00:00:00 /init
root           7       2  0 15:17 ?        00:00:00 plan9 --control-socket 7 --log-level 4 --server-fd 8 --pipe-fd 10 --log-truncate
root          53       1  0 15:17 ?        00:00:01 /usr/lib/systemd/systemd-journald
root          99       1  0 15:17 ?        00:00:02 /usr/lib/systemd/systemd-udevd
root         108      99  0 15:17 ?        00:00:00 (udev-worker)
root         109      99  0 15:17 ?        00:00:00 (udev-worker)
root         110      99  0 15:17 ?        00:00:00 (udev-worker)
root         111      99  0 15:17 ?        00:00:00 (udev-worker)
root         112      99  0 15:17 ?        00:00:00 (udev-worker)
root         113      99  0 15:17 ?        00:00:00 (udev-worker)
root         114      99  0 15:17 ?        00:00:00 (udev-worker)
root         115      99  0 15:17 ?        00:00:00 (udev-worker)
root         117      99  0 15:17 ?        00:00:00 (udev-worker)
root         118      99  0 15:17 ?        00:00:00 (udev-worker)
root         119      99  0 15:17 ?        00:00:00 (udev-worker)
root         120      99  0 15:17 ?        00:00:00 (udev-worker)
systemd+     121       1  0 15:17 ?        00:00:00 /usr/lib/systemd/systemd-resolved
root         122      99  0 15:17 ?        00:00:00 (udev-worker)
root         123      99  0 15:17 ?        00:00:00 (udev-worker)
root         124      99  0 15:17 ?        00:00:00 (udev-worker)
root         125      99  0 15:17 ?        00:00:00 (udev-worker)
systemd+     127       1  0 15:17 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root         130      99  0 15:17 ?        00:00:00 (udev-worker)
root         131      99  0 15:17 ?        00:00:00 (udev-worker)
root         132      99  0 15:17 ?        00:00:00 (udev-worker)
root         134      99  0 15:17 ?        00:00:00 (udev-worker)
root         135      99  0 15:17 ?        00:00:00 (udev-worker)
root         137      99  0 15:17 ?        00:00:00 (udev-worker)
root         138      99  0 15:17 ?        00:00:00 (udev-worker)
root         139      99  0 15:17 ?        00:00:00 (udev-worker)
root         140      99  0 15:17 ?        00:00:00 (udev-worker)
root         146      99  0 15:17 ?        00:00:00 (udev-worker)
root         147      99  0 15:17 ?        00:00:00 (udev-worker)
root         148      99  0 15:17 ?        00:00:00 (udev-worker)
root         149      99  0 15:17 ?        00:00:00 (udev-worker)
root         152      99  0 15:17 ?        00:00:00 (udev-worker)
root         155      99  0 15:17 ?        00:00:00 (udev-worker)
root         156      99  0 15:17 ?        00:00:00 (udev-worker)
root         157      99  0 15:17 ?        00:00:00 (udev-worker)
root         159      99  0 15:17 ?        00:00:00 (udev-worker)
root         160      99  0 15:17 ?        00:00:02 (udev-worker)
root         161      99  0 15:17 ?        00:00:00 (udev-worker)
root         162      99  0 15:17 ?        00:00:00 (udev-worker)
root         163      99  0 15:17 ?        00:00:00 (udev-worker)
root         164      99  0 15:17 ?        00:00:00 (udev-worker)
root         165      99  0 15:17 ?        00:00:00 (udev-worker)
root         166      99  0 15:17 ?        00:00:00 (udev-worker)
root         167      99  0 15:17 ?        00:00:00 (udev-worker)
root         168      99  0 15:17 ?        00:00:00 (udev-worker)
root         169      99  0 15:17 ?        00:00:00 (udev-worker)
root         170      99  0 15:17 ?        00:00:00 (udev-worker)
root         171      99  0 15:17 ?        00:00:00 (udev-worker)
root         172      99  0 15:17 ?        00:00:00 (udev-worker)
root         173      99  0 15:17 ?        00:00:00 (udev-worker)
root         182       1  0 15:17 ?        00:00:00 /usr/sbin/cron -f -P
message+     183       1  0 15:17 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         193       1  0 15:17 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         211       1  0 15:17 hvc0     00:00:00 /sbin/agetty -o -p -- \u --noclear --keep-baud - 115200,38400,9600 vt220
syslog       215       1  0 15:17 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         217       1  0 15:17 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root         225       1  0 15:17 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         301       2  0 15:17 ?        00:00:00 /init
root         303     301  0 15:17 ?        00:00:00 /init
yunseok      308     303  0 15:17 pts/0    00:00:00 -bash
root         309       2  0 15:17 pts/1    00:00:00 /bin/login -f
yunseok      361       1  0 15:17 ?        00:00:00 /usr/lib/systemd/systemd --user
yunseok      362     361  0 15:17 ?        00:00:00 (sd-pam)
yunseok      373     309  0 15:17 pts/1    00:00:00 -bash
polkitd     2366       1  0 15:22 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
yunseok    10113     308  0 15:44 pts/0    00:00:00 ps -ef
